"","Rosmarinic.acid..mg.gDW.","Perilaldehyde..mg.gDW.","LeafYield.1st.DW","Leaf.yield..2nd.DW","Leaf.yield..3rd.DW","Flowering.date"
"S827F4_001_1",21.12,7.09,1,22.7,21.8,140
"S827F4_001_2",20.86,7.51,1.3,15.7,16.3,137
"S827F4_001_3",17.22,5.55,1.6,13.2,23.7,137
"S827F4_002_1",26.03,3.72,5.8,26,23.1,144
"S827F4_002_2",26.77,2.9,3.1,18.6,25.1,149
"S827F4_002_3",42.28,1.96,5.9,18.5,27.7,144
"S827F4_003_1",21.05,4.47,4,18.5,24.1,144
"S827F4_003_2",15.81,3.91,5.2,18.1,20.6,137
"S827F4_003_3",22.21,3.83,1.2,8.5,13.8,144
"S827F4_004_1",17.03,7.5,4.9,12,25,140
"S827F4_004_2",12.3,5.81,8,20.4,23.6,140
"S827F4_004_3",16.6,4.07,16.1,16.9,31,140
"S827F4_005_1",13.37,7.33,4.1,12.4,20.4,137
"S827F4_005_2",19.11,6.46,6.3,13.9,14,137
"S827F4_005_3",18.1,7.78,2.7,14.5,15.7,130
"S827F4_008_1",18.85,4.1,8,21.6,34.7,144
"S827F4_008_2",20.67,4.22,1.3,15.4,26.6,144
"S827F4_008_3",20.76,6.07,2.5,16.2,28.5,144
"S827F4_011_1",29.33,4.14,1.4,8,20.4,144
"S827F4_011_2",21.4,4.92,1.8,8.8,15.5,140
"S827F4_011_3",24.04,5.7,0,5.3,7.7,144
"S827F4_012_1",21.38,5.53,3.4,20.1,24.8,137
"S827F4_012_2",17.95,3.98,1.3,NA,21.4,137
"S827F4_012_3",20.89,4.81,3.3,NA,28.7,137
"S827F4_014_1",20.01,3.28,1.2,8.8,20,144
"S827F4_014_2",16.26,3.26,2.4,26,33.5,144
"S827F4_014_3",16.46,3.74,3.6,16,36.7,144
"S827F4_015_1",21.52,3.97,5.5,17.4,22.2,149
"S827F4_015_2",26.33,4.78,1.8,19.7,15.9,144
"S827F4_015_3",19.37,2.97,6.2,17.6,28.3,140
"S827F4_016_1",22.36,4.13,4.5,17.9,23.9,144
"S827F4_016_2",25.9,4.19,3.7,17.2,28.3,144
"S827F4_016_3",17.73,6.26,5.4,17.3,21.3,144
"S827F4_082_1",27.19,3.01,2.8,16.1,15.7,144
"S827F4_082_2",24.8,3.51,5.6,13.6,23.3,144
"S827F4_082_3",26.55,2.08,5.8,12.4,25.8,144
"S827F4_018_1",25.17,3.56,5.1,12,16.6,130
"S827F4_018_2",27.83,3.71,5.6,14.4,19,130
"S827F4_018_3",24.97,4.74,2.9,13.8,22.9,130
"S827F4_019_1",17.13,7.66,3,16.7,24.9,140
"S827F4_019_2",18.5,8.45,1.7,16.9,19.2,144
"S827F4_019_3",18.02,6.23,1.6,12.1,15.5,144
"S827F4_022_1",NA,NA,0,0,0,NA
"S827F4_022_2",24.96,3.11,6.6,18.4,30.6,128
"S827F4_022_3",20.14,4.17,4.7,17.8,32.5,128
"S827F4_027_1",30.03,3.89,2,18.5,38.9,128
"S827F4_027_2",30.28,3.86,0,8.1,21.2,128
"S827F4_027_3",27.53,2.81,1.4,21.1,29,130
"S827F4_031_1",15.54,11.51,1.4,11.2,22.3,140
"S827F4_031_2",18.35,8.53,6.2,17,20,137
"S827F4_031_3",7.75,9.02,1.8,11.1,5.6,144
"S827F4_032_1",26.58,4.7,2.9,21.7,22.7,144
"S827F4_032_2",18.81,5.53,4.2,24.5,29.3,140
"S827F4_032_3",18.28,5.27,6,23,20.2,140
"S827F4_084_1",29.64,8.44,2.5,19.9,20.3,137
"S827F4_084_2",26.93,9.01,4.2,16.2,14.7,144
